OBJECTID,CSA2010,dralone11,dralone12,dralone13,dralone14,dralone15,dralone16,dralone17,dralone18,dralone19,CSA2020,drvalone20,drvalone21,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,62.4117053481332,61.743679163034,63.91325939414,63.8272,62.92674558,62.68852459,60.5406221685291,58.5546633724521,57.6996337,Allendale/Irvington/S. Hilton,56.40914352,55.64627946,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,74.3794769282026,75.8783783783784,75.3488372093023,76.0021,74.50946937,70.86750789,73.0201555308681,73.2407551880168,76.74383417,Beechfield/Ten Hills/West Hills,75.24959742,79.42640908,47882527.7110596,37524.9505334171
3,Belair-Edison,67.0756370500202,66.9303150143188,69.6557586060349,69.7692,69.97060745,63.63193768,58.4905660377358,58.2958946553059,57.62176789,Belair-Edison,62.6010495,62.78740157,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,54.2284723560008,51.8711419753086,52.0398571159992,54.1183,56.95196822,58.41672623,58.3544057576346,62.4239967571949,59.69517358,Brooklyn/Curtis Bay/Hawkins Point,66.44861785,73.49926794,176077742.748718,150987.703638771
5,Canton,80.0541328336456,80.626022913257,78.8805970149254,81.6904,80.63361375,81.40859658,81.7979070166409,79.9823165340406,79.64709993,Canton,79.3350087,80.93310609,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,69.4969963238591,68.4702549575071,68.0030546009927,68.5335,68.92727273,70.65901012,70.992501102779,71.5555156628668,72.72005645,Cedonia/Frankford,74.16444712,72.6450095,71541340.3063965,39962.5498347166
7,Cherry Hill,41.9029850746269,42.8214285714286,40.5691353520613,45.293,48.75255624,50.76225793,53.6184210526315,53.508064516129,56.97292863,Cherry Hill,54.30887372,51.98815567,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,70.5897771952818,71.5596330275229,67.8145336225597,69.4785,64.85555261,65.3340081,67.6302018440069,66.4323800290838,67.85388128,Chinquapin Park/Belvedere,59.44134078,59.69252943,21022590.1307373,21705.411630344
9,Claremont/Armistead,66.0355029585799,64.4585253456221,61.7168092740823,64.798,60.83309228,64.17270046,65.2686762778505,71.2105535437144,67.22788712,Orchard Ridge/Armistead,70.28183191,73.15601865,61243774.4211426,40104.415980189
10,Clifton-Berea,42.4597364568082,46.1147989066771,47.1411901983664,49.1395,53.98466155,48.08126411,46.2339252908756,43.7732028349645,43.97778549,Clifton-Berea,45.279658,51.81927229,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,70.5524669909659,72.0831113478956,74.1214057507987,72.449,70.46778464,71.78191009,76.5902293120638,72.2645825390774,72.54792481,Cross-Country/Cheswolde,80.43432867,82.61351052,38222018.3164673,26788.3018783839
12,Dickeyville/Franklintown,70.4996989765202,67.8780012978585,65.4822335025381,66.1529,69.17519567,69.13432836,69.6009389671361,70.7411504424778,79.09333333,Dickeyville/Franklintown,76.31731326,72.92940523,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,61.4790735473385,65.8521303258145,66.7791273054431,66.1672,64.02842441,67.67578125,66.8562564632885,62.4906226556639,64.94040279,Dorchester/Ashburton,68.60263523,65.98368431,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,42.838107928048,42.1019309908199,42.1571469991302,42.8052,39.85207101,36.24540571,38.4802595997836,40.1124169647419,44.88448845,Downtown/Seton Hill,47.81202845,50.8377425,20736554.4064941,21565.859394559
15,Edmondson Village,54.8620785734188,56.5558912386707,59.4412655671491,51.1532,50.86790232,51.26150193,51.6951695169517,53.1184091593853,60.12759171,Edmondson Village,59.8274209,60.81434442,23563061.0443115,21504.551357829
16,Fells Point,64.2857142857143,63.118889940082,64.6984126984127,64.8424,59.78295563,63.07791788,62.182533180403,61.2540192926045,56.04758757,Fells Point,62.24769073,60.1418175,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,61.6825208085612,63.0028508077289,62.5238397965671,61.8316,66.65696829,62.5,61.3624544981799,61.6822429906542,61.55294118,Forest Park/Walbrook,59.53357253,61.32001052,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,65.5473038424282,58.760507664414,60.3184049992561,58.6439,60.68826539,62.4234814,63.6891914328407,60.4465178273908,61.63322774,Glen-Fallstaff,63.00741264,63.4109692,46995477.4781494,48549.0046179292
19,Greater Charles Village/Barclay,39.7575074016636,42.1971993648044,46.4959362061034,46.0642,49.16184542,48.21565324,48.5441242347319,46.8474669603524,47.14071243,Greater Charles Village/Barclay,46.39412035,47.67714688,27051213.4559937,26454.2692113332
20,Greater Govans,56.6996092852218,57.5458392101552,57.0512820512821,56.2591,58.26497639,58.30643159,61.5403604048383,60.5778648383937,64.01965856,Greater Govans,69.28034372,71.24394184,22698495.7178955,22982.125714974
21,Greater Mondawmin,53.9397821909033,54.1879315520865,59.5982142857143,62.069,57.17837166,59.35733413,59.8136459272617,58.501851324409,61.37339056,Greater Mondawmin,53.58851675,53.05343511,33663448.2791138,31136.7318903515
22,Greater Roland Park/Poplar Hill,74.00162999185,75.5696873343932,79.3581724231711,79.9252,79.97159091,78.87323944,79.7724039829303,78.5329341317365,76.73725022,Greater Roland Park/Poplar Hill,78.03542673,78.28162291,56688145.1790161,39862.7497953117
23,Greater Rosemont,48.1648785996612,51.3476827612953,52.694489465154,55.3275,56.71504685,58.05720265,57.4573297176583,56.7910915934755,55.25601899,Greater Rosemont,53.30978059,56.42328042,42204384.5406494,32559.0762211492
24,Greenmount East,38.9653733833959,35.3411962931761,34.7090383821709,38.7784,40.02579536,40.25531915,43.0257979886313,48.2080419580419,51.14116653,Oliver/Johnson Square,57.62876579,61.44,19072287.8240967,20797.4734578598
25,Hamilton,77.6157166244977,79.2170056583575,79.2015911351044,77.0032,78.67603984,79.84052956,80.8865514650638,80.9884169884169,79.86588158,Hamilton,73.53137517,70.50870374,45191100.5593872,27712.1110915054
26,Harbor East/Little Italy,43.6427850655903,43.773790103317,36.0854783875668,33.2906,36.46582734,39.39393939,43.1781045751634,50.0239808153477,54.81357819,Harbor East/Little Italy,60.61465721,59.20245399,10215859.0836182,18552.4075815937
27,Harford/Echodale,77.7146240378922,80.539103106491,81.8795923204551,79.3398,77.83053324,77.91984264,76.8788894207755,78.3557046979865,81.09540636,Hamilton Hills,79.34914106,81.14096524,65360039.1698608,40019.1854001996
28,Highlandtown,68.8765182186235,66.4704497292206,64.2890013805798,69.8761,70.91518927,74.34971098,76.8191721132897,78.2599355531686,77.97356828,Highlandtown,78.01808887,81.23090354,11684191.1186523,14976.1238513698
29,Howard Park/West Arlington,65.6080922135968,69.1660986139514,76.1578449905482,75.7372,72.36952275,75.6170531,73.646459972235,74.4597249508841,71.62034856,Howard Park/West Arlington,73.06113631,74.24277457,63262430.0730591,36034.4984469719
30,Inner Harbor/Federal Hill,72.1244209133024,72.3195329087049,71.8997698798261,71.288,69.56467036,70.34035656,70.4032809295967,71.1533888228299,70.72971395,Inner Harbor/Federal Hill,72.28582708,72.55807243,24995836.2615967,43415.0595478862
31,Lauraville,82.1109425054797,81.6089903674634,79.9110320284697,78.4417,79.58435208,77.1214338,74.6085409252669,73.9528335093277,75.85682931,Greater Lauraville,71.60071942,76.63801337,49665744.2354736,34419.676527973
32,Loch Raven,70.2554027504912,72.2753603664287,69.7346600331675,65.03,59.37949993,58.30645161,58.392649152323,63.0786086003834,61.92510323,Loch Raven,65.38673273,67.96708753,44147812.3265381,29314.3346718286
33,Madison/East End,38.3808724832215,41.1936560934892,36.9839932603201,38.6745,40.91986724,40.83259522,42.3006416131989,48.2758620689655,47.20959074,Madison/East End,50.78608861,55.96646943,8897845.19189453,13120.1587193642
34,Medfield/Hampden/Woodberry/Remington,66.25,64.7982529118136,65.0387196695922,63.9181,66.45268171,66.48758999,67.1030042918455,68.9337846414216,69.69101994,Hampden/Remington,68.97972822,70.27456319,62441489.2398071,43152.625699222
35,Midtown,47.9496079187556,46.3872104733132,49.2746310079475,50.4477,49.35196664,45.58791802,45.5186631944444,44.9057775937047,43.01542922,Midtown,47.30538922,51.85666982,23823949.9294434,25020.0969698082
36,Midway/Coldstream,56.8946188340807,60.8480176211454,60.3164942178941,57.8896,53.15376747,53.03197354,49.4146860588861,47.1225710014947,49.11242604,Midway/Coldstream,48.15887464,46.39756944,17884471.2862549,22767.8274161904
37,Morrell Park/Violetville,61.8516597510373,66.7676211453744,65.6746031746032,66.7064,69.248,65.93440594,64.4528964306612,66.5339778220074,68.71899621,Morrell Park/Violetville,72.02519059,72.3903177,67470845.9901123,44412.7451303421
38,Mount Washington/Coldspring,84.4653665097512,81.0872395833333,79.2162351294612,82.2406,82.20813129,80.56234719,80.8252427184466,80.6517311608961,83.22353975,Mount Washington/Coldspring,81.67800454,80.93333333,56943058.6497192,38539.7661484899
39,North Baltimore/Guilford/Homeland,66.7019447016801,64.1441681074611,63.2412729566802,66.0896,67.03327301,65.22501461,66.5591082428864,65.9595531042285,64.224823,North Baltimore/Guilford/Homeland,64.63954318,65.24628051,74923987.6937256,42904.2221443544
40,Northwood,62.1413390010627,62.6960988477023,65.2873563218391,67.5628,68.76322951,63.47038969,61.9324796274738,61.2018831348656,56.76494902,Northwood,56.53676064,60.49797174,52743271.7706299,38889.8945908863
41,Oldtown/Middle East,38.8914129940936,38.0383795309168,35.2564102564103,33.0995,30.9893704,37.91186979,41.7322834645669,40.9775817714075,39.03214412,Oldtown/Middle East,39.43089431,37.07015131,24585968.2341919,23866.3281788863
42,Orangeville/East Highlandtown,41.8860698898995,47.0190274841438,53.0342384887839,49.5472,52.46305419,58.85625278,59.0503246753246,59.4063298604285,58.78529352,Greektown/Bayview,64.57519531,65.41978387,89894372.2113037,47825.8629266244
